lat,long,notes
10.743987,124.7863763,HECR  w/ 2   APCL
10.74395675,124.78642,HECR  w/ 3   APCL
10.743808,124.7866348,STME?  w/ 2   APOC
10.743535,124.7866115,ENQD?  w/ 2   APFR?
10.7441055,124.7862735,HEMG  w/ 3   APOC
10.74409775,124.7862223,ENQD
10.7440775,124.7862148,????  w/ 1   APCL
10.74394567,124.786305,HECR  w/ 3   APCL
10.74380875,124.78637,HECR  w/ 2   APCL
10.74433025,124.7863448,HECR  w/ 1   APCL
10.7434455,124.786757,ENQD  w/ 3   APCL
10.74340375,124.7867508,ENQD  w/ 2   APFR
10.74328525,124.786845,????  w/ 3   APCL
10.7432445,124.7868615,ENQD  w/ 1   APFR
10.742925,124.7871555,MADO  w/ 4   APCL
10.74312475,124.786911,MADO
10.7432035,124.7868293,ENQD  w/ 2   APFR
10.74332225,124.7867408,STME  w/ 1   APCL
10.74346,124.7865995,????  w/ 1   APCL
10.7447195,124.7859715,HECR  w/ 2   APCL
10.744847,124.7859515,STME  w/ 4   APPE
10.744886,124.785882,ENQD  w/ 2   APCL
10.744913,124.785827,ENQD  w/ 2   APFR
10.744904,124.7857888,HECR
10.74488825,124.7857505,HECR  w/ 5   APCL
10.74489225,124.7857348,HECR  w/ 2   APCL
10.7443555,124.7859575,HEMG  w/ 2   APOC
10.7443365,124.785983,ENQD  w/ 2   APFR
10.744336,124.7859953,HEMG  w/ 3   APOC
10.7441565,124.7861488,????  w/ 1   APCL
10.74403675,124.7862753,HECR  w/ 3   APCL
10.743995,124.786302,HECR  w/ 2   APCL
10.7440145,124.7863178,ENQD  w/ 2   PRBI
10.7440005,124.7863365,HECR  w/ 2   APCL
10.74382675,124.7863533,HECR  w/ 1   APCL
10.7437985,124.7863845,HECR  w/ 1   APCL
10.8730425,124.7121645,HECR  w/ 2   APCL
10.873033,124.712228,HECR  w/ 2   APCL
10.87322775,124.7121863,HECR  w/ 1   APCL
10.87331775,124.7122383,HECR  w/ 2   APCL
10.87344675,124.712272,HECR  w/ 1   APCL
10.874118,124.710649,HECR  w/ 2   APCL
10.874301,124.7105955,HECR  w/ 2   APCL
10.8743795,124.7105475,HECR  w/ 3   APCL
10.874423,124.7106755,MADO  w/ 3   APCL
10.8737115,124.7111638,HECR  w/ 2   APCL
10.8737335,124.7112523,HECR  w/ 1   APCL
10.873651,124.7113205,HECR  w/ 2   APCL
10.8735315,124.7111523,HECR  w/ 2   APCL
10.87417725,124.7103228,HECR
10.87417725,124.7103228,HECR  w/ 1   APPE
10.8741755,124.710365,HECR  w/ 2   APPE
10.8741705,124.7103858,HECR  w/ 2   APPE
10.87413725,124.710386,HECR  w/ 1   APPE
10.87413725,124.710386,HECR
10.87413725,124.710386,HECR  w/ 1   APPE
10.87409625,124.710394,HECR  w/ 1   APCL
10.874071,124.710421,HECR  w/ 1   APPE
10.87404725,124.7104685,HECR
10.874051,124.710471,HECR  w/ 1   APCL
