First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_12022L1733,2620,APCL_13018L0465,2545,2424,121, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12105L1766,2619,APCL_13278L0311,2620,2513,106, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13027L0485,2595,APCL_14017L0893,2620,2479,116, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13040L0413,2613,APCL_14009L0687,2618,2412,199, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13048L1032,2254,APCL_13050L1597_APCL13_048,2619,2103,150, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13057L1718,2620,APCL_13189L1662_APCL13_185,2619,2147,472, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13089L0424,2620,APCL_14006L0722,2620,2586,34, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13090L0425,2614,APCL_13101L0427,2614,2614,0, 1.89360374673289E-0793, 5.68953612902482E-0353,Exact match
APCL_13120L1084,2618,APCL_13131L1092,2620,2595,23, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13145L1098,2620,APCL_14036L0723,2618,2573,45, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13147L0434,2620,APCL_14032L1739,2618,2521,97, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13150L1101,2620,APCL_14126L1701,2620,2585,35, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13187L1621_APCL13_181,2610,APCL_14141L0728_APCL14_140,2617,2560,47, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13205L0443,2612,APCL_14007L0945,2608,2527,78, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13226L0261,2604,APCL_13640L1231,2609,2408,196, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13255L0288,2612,APCL_14332L0606_APCL14_330,2509,2354,150, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13265L0298,2615,APCL_14398L0739,2619,2100,515, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13266L0299,2222,APCL_14433L1283,2620,2120,102, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13313L0344,2620,APCL_13626L0691,2618,2526,92, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13351L0370,2618,APCL_14445L0742,2618,2560,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13362L0377,2620,APCL_14553L0974_APCL14_555,2610,2554,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13447L0846,2617,APCL_14447L1238,2618,2566,51, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13485L0658,2615,APCL_14095L0923,2620,2577,38, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13557L1218,2613,APCL_14291L1206_APCL14_289,2528,2389,135, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13572L0874,2560,APCL_14060L0921,2620,2498,62, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13584L0677,2619,APCL_14155L0730_APCL14_153,2620,2537,82, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L0678,2620,APCL_14255L0737_APCL14_253,2606,2552,54, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13601L0683,2620,APCL_14270L1013_APCL14_268,2620,2577,43, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13615L0884,2620,APCL_14XXXL1282_APCL14_390,2620,2563,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13653L0696,2620,APCL_14246L0712_APCL14_244,2620,2550,70, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13654L0697,2617,APCL_14088L0922,2618,2594,23, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13663L1726,2620,APCL_13664L1727,2620,2106,514, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14160L0910_APCL14_158,2620,APCL_14161L0911_APCL14_159,2620,2111,509, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14161L0911_APCL14_159,2620,APCL_14177L0913_APCL14_175,2620,2104,516, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14218L1299_APCL14_216,2620,APCL_14226L0787_APCL14_224,2620,2202,418, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
