Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_12037L1734,1012,APCL_14156L0908_APCL14_154,1012,1012,9,-6.71280063709824E+0001,-6.71280063709824E+0001,*,APCL_14168L0912_APCL14_166,1012,1012,7,-5.90899356296560E+0001,-5.90899356296560E+0001,*,1012,26,-1.87251423261521E+0002,-1.87251423261521E+0002,-,
APCL_12037L1734,1012,APCL_14168L0912_APCL14_166,1012,1012,7,-5.90899356296560E+0001,-5.90899356296560E+0001,*,APCL_14198L0718_APCL14_196,1010,1010,11,-1.08150363582955E+0002, 0.00000000000000E+0000,,1012,23,-1.98742429548260E+0002, 0.00000000000000E+0000,,
APCL_12038L1755,903,APCL_14157L0715_APCL14_155,1012,903,6,-6.67877478146918E+0001,-6.67877478146918E+0001,*,APCL_14168L0912_APCL14_166,1012,903,6,-6.31437689513650E+0001,-6.31437689513650E+0001,*,903,17,-1.69237420732645E+0002,-1.69237420732645E+0002,-,
APCL_12038L1755,903,APCL_14156L0908_APCL14_154,1012,903,8,-7.53597157803326E+0001, 0.00000000000000E+0000,,APCL_14168L0912_APCL14_166,1012,903,6,-6.31437689513650E+0001,-6.31437689513650E+0001,*,903,20,-1.75882257754355E+0002, 0.00000000000000E+0000,,
APCL_12049L1756,975,APCL_14157L0715_APCL14_155,1012,975,8,-7.35036507511829E+0001,-7.35036507511829E+0001,*,APCL_14158L0909_APCL14_156,1012,975,4,-6.73837904857530E+0001,-6.73837904857530E+0001,*,975,18,-1.89790697450825E+0002,-1.89790697450825E+0002,-,
APCL_12049L1756,975,APCL_14158L0909_APCL14_156,1012,975,4,-6.73837904857530E+0001,-6.73837904857530E+0001,*,APCL_14168L0912_APCL14_166,1012,975,12,-9.90360472384565E+0001, 0.00000000000000E+0000,,975,19,-2.01909809856258E+0002, 0.00000000000000E+0000,,
APCL_12050L1757,939,APCL_14157L0715_APCL14_155,1012,939,12,-9.31083812901824E+0001, 0.00000000000000E+0000,,APCL_14158L0909_APCL14_156,1012,939,8,-9.32884972903410E+0001, 0.00000000000000E+0000,,939,23,-2.21936068372033E+0002,-2.21936068372033E+0002,-,
APCL_12050L1757,939,APCL_14156L0908_APCL14_154,1012,939,14,-8.38374513304382E+0001,-8.38374513304382E+0001,*,APCL_14158L0909_APCL14_156,1012,939,8,-9.32884972903410E+0001, 0.00000000000000E+0000,,939,27,-2.22668904721358E+0002, 0.00000000000000E+0000,,
APCL_12081L1758,912,APCL_14158L0909_APCL14_156,1012,912,1,-2.87750083423498E+0001,-2.87750083423498E+0001,*,APCL_14198L0718_APCL14_196,1010,910,11,-8.70552418234737E+0001, 0.00000000000000E+0000,,912,20,-1.74811564130173E+0002,-1.74811564130173E+0002,-,
APCL_12081L1758,912,APCL_14158L0909_APCL14_156,1012,912,1,-2.87750083423498E+0001,-2.87750083423498E+0001,*,APCL_14168L0912_APCL14_166,1012,912,8,-7.77829531974408E+0001,-7.77829531974408E+0001,*,912,19,-1.75158051042602E+0002, 0.00000000000000E+0000,,
APCL_12088L1760,1005,APCL_13227L0262,1005,1005,19, 9.90518083684779E+0001, 9.90518083684779E+0001,*,APCL_14158L0909_APCL14_156,1012,1005,4,-3.99930071190500E+0001,-3.99930071190500E+0001,*,1005,34,-3.03785373810655E+0001,-3.03785373810655E+0001,*,
