First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_12022L1733,1192,APCL_13018L0465,1058,1019,39, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12024L2553,1190,APCL_13012L0461,928,884,42, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12026L2463,1190,APCL_14005L0721,1192,1157,33, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12027L2404,1188,APCL_13014L0464,1013,956,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12029L2554,1191,APCL_14003L0719,1186,1163,23, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12062L2415,1099,APCL_13244L0277,1188,1050,46, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12063L2563,1189,APCL_13252L0285,1192,1174,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12075L2419,1191,APCL_13206L1174,652,593,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12080L2420,1190,APCL_12128L2421,1141,1113,28, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12080L2420,1190,APCL_13193L1212,1022,952,68, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12095L1763,1171,APCL_13203L1173,757,698,58, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12105L1766,1187,APCL_13278L0311,1190,1159,28, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12128L2421,1141,APCL_13193L1212,1022,894,80, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12142L2476,1192,APCL_13384L0395,1192,1165,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12168L2481,1189,APCL_13356L0373,1192,1165,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12183L2569,1192,APCL_13044L0416,1190,1176,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12184L2570,1192,APCL_13045L0417,1192,1167,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12189L2571,1190,APCL_13060L0420,1174,1142,30, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12213L2431,1190,APCL_13031L0410,1191,1149,40, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12249L2434,1186,APCL_13284L0316,1188,1164,18, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12256L2436,1186,APCL_13295L0327,1188,1162,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12275L2437,1183,APCL_13309L0340,1192,1167,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13027L0485,1138,APCL_14017L0893,1192,1106,32, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13090L0425,1186,APCL_13101L0427,1186,1186,0, 7.23465820275001E-0475, 1.02502309219181E-0232,Exact match
APCL_13091L1065,832,APCL_14097L1233,1192,789,43, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13120L1084,1190,APCL_13131L1092,1191,1184,6, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13145L1098,1192,APCL_14036L0723,1187,1162,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13186L1164,626,APCL_14046L0749,1192,571,55, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13205L0443,1176,APCL_14007L0945,1187,1149,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13258L0291,1144,APCL_14352L2533,1153,1049,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13266L0299,977,APCL_14433L1283,1190,919,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13313L0344,1190,APCL_13626L0691,1190,1117,71, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13351L0370,1189,APCL_14445L0742,1190,1175,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13362L0377,1189,APCL_14553L0974_APCL14_555,1184,1147,34, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13363L0645,887,APCL_13367L0381,725,514,53, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13447L0846,1192,APCL_14447L1238,1192,1178,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13453L2490,1112,APCL_14450L0936,1187,1073,37, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13485L0658,1191,APCL_14095L0923,1192,1174,17, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13557L1218,1190,APCL_14291L1206_APCL14_289,1117,1066,49, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13572L0874,1178,APCL_14060L0921,1192,1152,26, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13601L0683,1192,APCL_14270L1013_APCL14_268,1192,1175,17, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13609L2529,1192,APCL_14544L0747_APCL14_546,1185,1112,73, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13615L0884,1192,APCL_14XXXL1282_APCL14_390,1192,1156,36, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13653L0696,1192,APCL_14246L0712_APCL14_244,1191,1161,30, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13654L0697,1191,APCL_14088L0922,1191,1183,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14149L1284_APCL14_148,1192,APCL_15403L2576,1186,1176,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14350L2532,1185,APCL_14XXXL1349_APCL14_348,1008,944,57, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14547L1241_APCL14_549,1173,APCL_14547L2392,1184,1128,37, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
