First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_12022L1733,265,APCL_13018L0465,263,242,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13005L0455,197,APCL_13461L1676,265,177,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13027L0485,263,APCL_14017L0893,265,242,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13048L0881,250,APCL_13050L1597,262,229,18, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13048L1596,265,APCL_14303L0595,244,219,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13050L1033,233,APCL_13051L1598,265,209,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13054L1037,211,APCL_13055L1602,265,191,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13055L1038,240,APCL_13056L1603,265,217,23, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13057L1040,256,APCL_13057L1718,265,229,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13058L1041,155,APCL_13059L1606,260,124,26, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13071L1052,235,APCL_13075L1646,265,211,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13072L1053,226,APCL_13080L1613,265,200,26, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13072L1053,226,APCL_13098L1069,117,82,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13077L1056,222,APCL_13078L1649,261,191,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13079L1058,227,APCL_13357L1651,265,206,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13080L1059,242,APCL_13083L1614,259,210,26, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13082L1060,243,APCL_13082L1688,232,192,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13085L1063,226,APCL_13086L1654,264,202,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13087L0423,265,APCL_13087L1719,265,245,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13089L0424,265,APCL_14006L0722,265,254,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13090L0425,261,APCL_13101L0427,261,261,0, 1.42095369858311E-0079, 2.15563006996109E-0036,Exact match
APCL_13091L1065,232,APCL_14097L1233,265,211,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13098L1069,117,APCL_13209L1048,226,84,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13098L1069,117,APCL_13318L0348,265,91,26, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13100L1070,220,APCL_13176L1618,265,195,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13120L1084,265,APCL_13131L1092,265,259,6, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13130L0432,265,APCL_13130L1720,265,245,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13145L1098,265,APCL_14036L0723,265,256,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13147L0434,265,APCL_14032L0947,263,247,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13147L0434,265,APCL_14032L1739,263,236,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13150L1101,265,APCL_14126L1321,250,238,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13150L1101,265,APCL_14126L1701,265,252,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13186L1164,183,APCL_14046L0749,265,161,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13187L1621,264,APCL_14141L0728,265,254,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13196L1169,150,APCL_13199L1624,264,123,26, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13205L0443,265,APCL_14007L0945,263,241,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13207L0444,265,APCL_13207L1024,206,192,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13207L0444,265,APCL_13209L1626,265,241,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13208L1175,165,APCL_13210L1627,265,140,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13266L0299,241,APCL_14433L1283,265,222,19, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13313L0344,265,APCL_13626L0691,265,244,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13333L0357,265,APCL_13333L1721,265,253,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13333L0357,265,APCL_13334L0358,233,227,6, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13333L1721,265,APCL_13334L0358,233,222,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13351L0370,265,APCL_14445L0742,265,249,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13362L0377,265,APCL_14553L0974,263,249,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13363L0645,221,APCL_13367L0381,220,165,17, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13393L1667,254,APCL_14XXXL0822,265,230,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13447L0846,265,APCL_14447L1238,265,248,17, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13461L0466,204,APCL_14489L1677,265,180,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13485L0658,262,APCL_14095L0923,265,253,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
