First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL12_022L1733,1012,APCL13_018L0465,983,939,44, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL12_105L1766,1012,APCL13_278L0311,1012,966,46, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_027L0485,1004,APCL14_017L0893,1012,961,43, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_089L0424,1012,APCL14_006L0722,1012,991,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_090L0425,1009,APCL13_101L0427,1009,1009,0, 6.98863547507660E-0402, 5.03974938221809E-0197,Exact match
APCL13_120L1084,1012,APCL13_131L1092,1012,998,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_145L1098,1012,APCL14_036L0723,1011,976,35, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_147L0434,1012,APCL14_032L0947,999,960,39, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_150L1101,1012,APCL14_126L1321,892,831,61, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_187L1621_APCL13_181,1004,APCL14_141L0728_APCL14_140,1012,984,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_205L0443,1010,APCL14_007L0945,1009,968,40, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_255L0288,1011,APCL14_332L0606_APCL14_330,977,907,69, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_313L0344,1012,APCL13_626L0691,1011,956,55, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_351L0370,1011,APCL14_445L0742,1011,980,31, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_362L0377,1012,APCL14_553L0974_APCL14_555,1007,971,36, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_447L0846,1010,APCL14_447L1238,1010,983,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_485L0658,1010,APCL14_095L0923,1012,988,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_557L1218,1011,APCL14_291L1206_APCL14_289,979,934,44, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_565L0670,1012,APCL14_049L0726,1012,993,19, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_572L0874,997,APCL14_060L0921,1012,964,33, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_584L0677,1011,APCL14_155L0730_APCL14_153,1012,964,47, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_587L0678,1012,APCL14_255L0737_APCL14_253,1005,978,27, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_601L0683,1012,APCL14_270L1013_APCL14_268,1012,992,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_615L0884,1012,APCL14_XXXL1282_APCL14_390,1012,977,35, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_653L0696,1012,APCL14_246L0712_APCL14_244,1012,968,44, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL13_654L0697,1011,APCL14_088L0922,1011,995,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
