Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2552,809,L0913,809,809,26,-1.38008393361924E+0002,-1.38008393361924E+0002,*,L0994,809,809,11,-6.26441530759011E+0001,-6.26441530759011E+0001,*,809,37,-2.02086476956998E+0002,-2.02086476956998E+0002,-,
L2552,809,L0994,809,809,11,-6.26441530759011E+0001,-6.26441530759011E+0001,*,L1671,789,789,34,-1.77184265307788E+0002, 0.00000000000000E+0000,,809,45,-2.36653726588337E+0002, 0.00000000000000E+0000,,
L2555,809,L0886,809,809,28,-1.42332175582769E+0002, 0.00000000000000E+0000,,L0994,809,809,8,-3.96513530087132E+0001,-3.96513530087132E+0001,*,809,37,-1.88810015886987E+0002,-1.88810015886987E+0002,-,
L2555,809,L0913,809,809,25,-1.31334128726027E+0002,-1.31334128726027E+0002,*,L0994,809,809,8,-3.96513530087132E+0001,-3.96513530087132E+0001,*,809,36,-1.89522896763071E+0002, 0.00000000000000E+0000,,
L2406,808,L0886,809,808,23,-1.19515359566698E+0002,-1.19515359566698E+0002,*,L0994,809,808,15,-8.24551137212618E+0001,-8.24551137212618E+0001,*,808,38,-2.02753390638633E+0002,-2.02753390638633E+0002,-,
L2406,808,L0984,807,806,24,-1.24938510636729E+0002, 0.00000000000000E+0000,,L0994,809,808,15,-8.24551137212618E+0001,-8.24551137212618E+0001,*,808,39,-2.05170915498495E+0002, 0.00000000000000E+0000,,
L2361,782,L0994,809,782,9,-5.77078679484447E+0001,-5.77078679484447E+0001,*,L2500,710,684,33,-1.78391094532548E+0002, 0.00000000000000E+0000,,782,39,-2.17172094395387E+0002,-2.17172094395387E+0002,-,
L2361,782,L0886,809,782,31,-1.77432236678343E+0002,-1.77432236678343E+0002,-,L0994,809,782,9,-5.77078679484447E+0001,-5.77078679484447E+0001,*,782,43,-2.52171278588960E+0002, 0.00000000000000E+0000,,
L2470,791,L0913,809,791,19,-9.37026316157921E+0001,-9.37026316157921E+0001,*,L0994,809,791,12,-7.58970151463210E+0001,-7.58970151463210E+0001,*,791,32,-1.75729830402314E+0002,-1.75729830402314E+0002,-,
L2470,791,L0886,809,791,25,-1.40565069810982E+0002, 0.00000000000000E+0000,,L0994,809,791,12,-7.58970151463210E+0001,-7.58970151463210E+0001,*,791,37,-2.13526324452467E+0002, 0.00000000000000E+0000,,
L2562,806,L0984,807,804,34,-1.81470851894130E+0002,-1.81470851894130E+0002,-,L0994,809,806,12,-7.63407998250757E+0001,-7.63407998250757E+0001,*,806,48,-2.66822336143860E+0002,-2.66822336143860E+0002,-,
L2562,806,L0913,809,806,32,-1.93304824736667E+0002, 0.00000000000000E+0000,,L0994,809,806,12,-7.63407998250757E+0001,-7.63407998250757E+0001,*,806,46,-2.78975048756496E+0002, 0.00000000000000E+0000,,
L2362,684,L0994,809,684,9,-5.57826918791570E+0001,-5.57826918791570E+0001,*,L1671,789,666,34,-1.88137801456027E+0002, 0.00000000000000E+0000,,684,42,-2.37542426270588E+0002,-2.37542426270588E+0002,-,
L2362,684,L0994,809,684,9,-5.57826918791570E+0001,-5.57826918791570E+0001,*,L2500,710,597,32,-1.76789369140927E+0002,-1.76789369140927E+0002,-,684,42,-2.40193834202409E+0002, 0.00000000000000E+0000,,
L2414,778,L0886,809,778,22,-1.18349428151533E+0002,-1.18349428151533E+0002,*,L0994,809,778,8,-5.01861990253568E+0001,-5.01861990253568E+0001,*,778,33,-1.85591105614845E+0002,-1.85591105614845E+0002,-,
L2414,778,L0994,809,778,8,-5.01861990253568E+0001,-5.01861990253568E+0001,*,L1671,789,760,29,-1.58972606448316E+0002, 0.00000000000000E+0000,,778,39,-2.17024625471648E+0002, 0.00000000000000E+0000,,
L2563,0
L2262,664,L0886,809,664,25,-1.36918655101504E+0002,-1.36918655101504E+0002,*,L0994,809,664,6,-3.32754141478959E+0001,-3.32754141478959E+0001,*,664,34,-1.88650826792326E+0002,-1.88650826792326E+0002,-,
L2262,664,L0913,809,664,27,-1.52631092507572E+0002, 0.00000000000000E+0000,,L0994,809,664,6,-3.32754141478959E+0001,-3.32754141478959E+0001,*,664,34,-1.92799507810538E+0002, 0.00000000000000E+0000,,
L2471,808,L0913,809,808,24,-1.31568353508521E+0002,-1.31568353508521E+0002,*,L0994,809,808,10,-6.85241927183638E+0001,-6.85241927183638E+0001,*,808,37,-2.16580527291788E+0002,-2.16580527291788E+0002,-,
