Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2552,809,L0913,809,809,26,-1.38156563541200E+0002,-1.38156563541200E+0002,*,L1671,789,789,34,-1.77211542069435E+0002, 0.00000000000000E+0000,,809,61,-3.18856176491522E+0002,-3.18856176491522E+0002,-,
L2552,809,L0886,809,809,37,-2.13327559188281E+0002, 0.00000000000000E+0000,,L0913,809,809,26,-1.38156563541200E+0002,-1.38156563541200E+0002,*,809,62,-3.45069760438931E+0002, 0.00000000000000E+0000,,
L2555,809,L0886,809,809,28,-1.42368093730262E+0002,-1.42368093730262E+0002,*,L0913,809,809,25,-1.31382428727323E+0002,-1.31382428727323E+0002,*,809,60,-3.13168272435756E+0002,-3.13168272435756E+0002,-,
L2555,809,L0816,809,809,32,-1.66193095509896E+0002, 0.00000000000000E+0000,,L0913,809,809,25,-1.31382428727323E+0002,-1.31382428727323E+0002,*,809,61,-3.18771846353348E+0002, 0.00000000000000E+0000,,
L2406,808,L0816,809,808,30,-1.66183951965591E+0002, 0.00000000000000E+0000,,L0886,809,808,23,-1.19279064523939E+0002,-1.19279064523939E+0002,*,808,57,-3.04412240143636E+0002,-3.04412240143636E+0002,-,
L2406,808,L0886,809,808,23,-1.19279064523939E+0002,-1.19279064523939E+0002,*,L2512,809,808,30,-1.50629049554379E+0002, 0.00000000000000E+0000,,808,61,-3.14451845439863E+0002, 0.00000000000000E+0000,,
L2361,782,L0886,809,782,31,-1.77417620788770E+0002,-1.77417620788770E+0002,-,L1607,809,782,31,-1.78623333857360E+0002, 0.00000000000000E+0000,,782,64,-3.65991254720497E+0002,-3.65991254720497E+0002,-,
L2361,782,L0886,809,782,31,-1.77417620788770E+0002,-1.77417620788770E+0002,-,L2500,710,684,33,-1.78409536093956E+0002,-1.78409536093956E+0002,-,782,70,-3.82590914918721E+0002, 0.00000000000000E+0000,,
L2470,791,L0886,809,791,25,-1.40590011127494E+0002,-1.40590011127494E+0002,*,L0913,809,791,19,-9.38076100191736E+0001,-9.38076100191736E+0001,*,791,52,-2.79341493121755E+0002,-2.79341493121755E+0002,-,
L2470,791,L0913,809,791,19,-9.38076100191736E+0001,-9.38076100191736E+0001,*,L1607,809,791,32,-1.83584858258189E+0002, 0.00000000000000E+0000,,791,57,-3.10329576848300E+0002, 0.00000000000000E+0000,,
L2562,806,L0913,809,806,32,-1.93357923427355E+0002,-1.93357923427355E+0002,-,L0984,807,804,34,-1.81386841112574E+0002,-1.81386841112574E+0002,-,806,67,-3.76824742830918E+0002,-3.76824742830918E+0002,-,
L2562,806,L0984,807,804,34,-1.81386841112574E+0002,-1.81386841112574E+0002,-,L1607,809,806,39,-2.27882221251101E+0002, 0.00000000000000E+0000,,806,74,-4.14958024250019E+0002, 0.00000000000000E+0000,,
L2362,684,L1607,809,684,32,-1.89911833534268E+0002, 0.00000000000000E+0000,,L2500,710,597,32,-1.76989561232270E+0002,-1.76989561232270E+0002,-,684,63,-3.56178065413363E+0002,-3.56178065413363E+0002,-,
L2362,684,L0886,809,684,32,-1.89919039159454E+0002, 0.00000000000000E+0000,,L2500,710,597,32,-1.76989561232270E+0002,-1.76989561232270E+0002,-,684,63,-3.59828397722584E+0002, 0.00000000000000E+0000,,
L2414,778,L0886,809,778,22,-1.18323226243773E+0002,-1.18323226243773E+0002,*,L0984,807,776,35,-1.99692588630028E+0002, 0.00000000000000E+0000,,778,55,-2.99362092083053E+0002,-2.99362092083053E+0002,-,
L2414,778,L0886,809,778,22,-1.18323226243773E+0002,-1.18323226243773E+0002,*,L1671,789,760,29,-1.58862317944705E+0002,-1.58862317944705E+0002,-,778,57,-3.06545089490899E+0002, 0.00000000000000E+0000,,
L2563,0
L2262,664,L0886,809,664,25,-1.36956317998990E+0002,-1.36956317998990E+0002,*,L0913,809,664,27,-1.52721591324758E+0002, 0.00000000000000E+0000,,664,54,-2.99995436339446E+0002,-2.99995436339446E+0002,-,
L2262,664,L0816,809,664,27,-1.46246077862991E+0002, 0.00000000000000E+0000,,L0886,809,664,25,-1.36956317998990E+0002,-1.36956317998990E+0002,*,664,56,-3.05057196051714E+0002, 0.00000000000000E+0000,,
L2471,808,L0913,809,808,24,-1.31418884683277E+0002,-1.31418884683277E+0002,*,L1607,809,808,32,-1.78708569847181E+0002,-1.78708569847181E+0002,-,808,60,-3.33370213995966E+0002,-3.33370213995966E+0002,-,
L2471,808,L0886,809,808,34,-1.94178792962070E+0002, 0.00000000000000E+0000,,L0913,809,808,24,-1.31418884683277E+0002,-1.31418884683277E+0002,*,808,61,-3.43240564214620E+0002, 0.00000000000000E+0000,,
L2472,808,L0731,768,767,40,-2.15658352471086E+0002, 0.00000000000000E+0000,,L0913,809,808,30,-1.66148399235362E+0002,-1.66148399235362E+0002,-,808,69,-3.71081312530711E+0002,-3.71081312530711E+0002,-,
L2472,808,L0913,809,808,30,-1.66148399235362E+0002,-1.66148399235362E+0002,-,L0984,807,806,36,-1.94808587998270E+0002, 0.00000000000000E+0000,,808,70,-3.80417876022023E+0002, 0.00000000000000E+0000,,
L2418,807,L1607,809,807,29,-1.62216703292249E+0002,-1.62216703292249E+0002,-,L2500,710,708,32,-1.73141098403788E+0002,-1.73141098403788E+0002,-,807,66,-3.59562952047889E+0002,-3.59562952047889E+0002,-,
L2418,807,L0913,809,807,34,-2.00346339651118E+0002, 0.00000000000000E+0000,,L2500,710,708,32,-1.73141098403788E+0002,-1.73141098403788E+0002,-,807,65,-3.68776682642999E+0002, 0.00000000000000E+0000,,
L2473,809,L0886,809,809,36,-2.03564535405689E+0002, 0.00000000000000E+0000,,L0913,809,809,34,-1.96933133724615E+0002,-1.96933133724615E+0002,-,809,68,-3.88217662131471E+0002,-3.88217662131471E+0002,-,
L2473,809,L0731,768,768,43,-2.42944957352663E+0002, 0.00000000000000E+0000,,L0913,809,809,34,-1.96933133724615E+0002,-1.96933133724615E+0002,-,809,71,-3.97471197113567E+0002, 0.00000000000000E+0000,,
L2564,809,L0913,809,809,32,-1.80506927981971E+0002, 0.00000000000000E+0000,,L1607,809,809,25,-1.29013931288174E+0002,-1.29013931288174E+0002,*,809,59,-3.23574805976682E+0002,-3.23574805976682E+0002,-,
L2564,809,L0984,807,807,30,-1.59875950960086E+0002,-1.59875950960086E+0002,-,L1607,809,809,25,-1.29013931288174E+0002,-1.29013931288174E+0002,*,809,63,-3.29264977454885E+0002, 0.00000000000000E+0000,,
L2364,0
L2565,808,L0886,809,808,34,-1.95643182677844E+0002, 0.00000000000000E+0000,,L2500,710,709,32,-1.75827803237911E+0002,-1.75827803237911E+0002,-,808,70,-3.88571154140580E+0002,-3.88571154140580E+0002,-,
L2565,808,L0786,808,807,33,-1.82372446513843E+0002,-1.82372446513843E+0002,-,L0886,809,808,34,-1.95643182677844E+0002, 0.00000000000000E+0000,,808,70,-3.89914433491982E+0002, 0.00000000000000E+0000,,
L2420,0
L2207,808,L0886,809,808,25,-1.32494224259425E+0002,-1.32494224259425E+0002,*,L1607,809,808,28,-1.48117950898487E+0002, 0.00000000000000E+0000,,808,54,-2.83395654080917E+0002,-2.83395654080917E+0002,-,
L2207,808,L0886,809,808,25,-1.32494224259425E+0002,-1.32494224259425E+0002,*,L0913,809,808,26,-1.37319442882143E+0002,-1.37319442882143E+0002,*,808,57,-3.02122063362289E+0002, 0.00000000000000E+0000,,
L2208,682,L0886,809,682,26,-1.45782095914669E+0002, 0.00000000000000E+0000,,L0913,809,682,25,-1.40388157543831E+0002,-1.40388157543831E+0002,*,682,52,-2.91447762044868E+0002,-2.91447762044868E+0002,-,
