"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4593","18_a","P9","A1","P11","A1","P8","P10",8.478,"E1","D4588-D4613",17.7,4.5,150,"P5","P119"
"2","D3848","18_a","P9","B1","P11","A1","P8","P10",7.216,"E4","D3820-D3915",20.8,1.4,150,"P6","P119"
"3","D3863","18_a","P9","C1","P11","A1","P8","P10",7.201,"D6","D3820-D3915",20.8,1.4,150,"P6","P119"
"4","D3864","18_a","P9","D1","P11","A1","P8","P10",7.22,"E6","D3820-D3915",20.8,1.4,150,"P6","P119"
"5","D3874","18_a","P9","E1","P11","A1","P8","P10",7.195,"G7","D3820-D3915",20.8,1.4,150,"P6","P119"
"6","D3921","18_a","P9","F1","P11","A1","P8","P10",7.477,"F1","D3916-D4011",20.1,2.1,150,"P7","P119"
"7","D3934","18_a","P9","G1","P11","A1","P8","P10",8.091,"C3","D3916-D4011",18.5,3.7,150,"P7","P119"
"8","D3944","18_a","P9","H1","P11","A1","P8","P10",9.006,"E4","D3916-D4011",16.7,5.5,150,"P7","P119"
"9","D3950","18_a","P9","A2","P11","A1","P8","P10",8.744,"C5","D3916-D4011",17.2,5,150,"P7","P119"
"10","D3963","18_a","P9","B2","P11","A1","P8","P10",7.156,"H6","D3916-D4011",21,1.2,150,"P7","P119"
"11","D3964","18_a","P9","C2","P11","A1","P8","P10",7.681,"A7","D3916-D4011",19.5,2.7,150,"P7","P119"
"12","D3981","18_a","P9","D2","P11","A1","P8","P10",8.879,"B9","D3916-D4011",16.9,5.3,150,"P7","P119"
"13","D3984","18_a","P9","E2","P11","A1","P8","P10",7.31,"E9","D3916-D4011",20.5,1.7,150,"P7","P119"
"14","D4009","18_a","P9","F2","P11","A1","P8","P10",7.734,"F12","D3916-D4011",19.4,2.8,150,"P7","P119"
"15","D4012","18_a","P9","G2","P11","A1","P8","P10",8.452,"A1","D4012-D4107",17.7,4.5,150,"P12","P119"
"16","D4044","18_a","P9","H2","P11","A1","P8","P10",7.605,"A5","D4012-D4107",19.7,2.5,150,"P12","P119"
"17","D4051","18_a","P9","A3","P11","A1","P8","P10",6.957,"H5","D4012-D4107",21.6,0.6,150,"P12","P119"
"18","D4092","18_a","P9","B3","P11","A1","P8","P10",7.365,"A11","D4012-D4107",20.4,1.8,150,"P12","P119"
