"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4513","18_c","P9","G5","P11","A1","P8","P10",8.615,"F3","D4492-D4587",17.4,4.8,150,"P12","P119"
"2","D4524","18_c","P9","H5","P11","A1","P8","P10",7.711,"A5","D4492-D4587",19.5,2.7,150,"P12","P119"
"3","D4525","18_c","P9","A6","P11","A1","P8","P10",7.725,"B5","D4492-D4587",19.4,2.8,150,"P12","P119"
"4","D4532","18_c","P9","B6","P11","A1","P8","P10",7.819,"A6","D4492-D4587",19.2,3,150,"P12","P119"
"5","D4546","18_c","P9","C6","P11","A1","P8","P10",8.47,"G7","D4492-D4587",17.7,4.5,150,"P12","P119"
"6","D4554","18_c","P9","D6","P11","A1","P8","P10",7.039,"G8","D4492-D4587",21.3,0.9,150,"P12","P119"
"7","D4568","18_c","P9","E6","P11","A1","P8","P10",6.987,"E10","D4492-D4587",21.5,0.7,150,"P12","P119"
"8","D4572","18_c","P9","F6","P11","A1","P8","P10",7.843,"A11","D4492-D4587",19.1,3.1,150,"P12","P119"
"9","D4579","18_c","P9","G6","P11","A1","P8","P10",7.521,"H11","D4492-D4587",19.9,2.3,150,"P12","P119"
"10","D4587","18_c","P9","H6","P11","A1","P8","P10",7.101,"H12","D4492-D4587",21.1,1.1,150,"P12","P119"
"11","D4730","18_c","P9","A7","P11","A1","P8","P10",8.24,"A5","D4698-D4793",18.2,4,150,"P13","P120"
"12","D4790","18_c","P9","B7","P11","A1","P8","P10",7.86,"E12","D4698-D4793",19.1,3.1,150,"P13","P120"
"13","D4934","18_c","P9","C7","P11","A1","P8","P10",8.81,"H10","D4888-D4946",17,5.2,150,"P5","P120"
"14","D5264","18_c","P9","D7","P11","A1","P8","P10",8.5,"E6","D5220-D5308",17.6,4.6,150,"P6","P120"
"15","D5265","18_c","P9","E7","P11","A1","P8","P10",9,"F6","D5220-D5308",16.7,5.5,150,"P6","P120"
"16","D5272","18_c","P9","F7","P11","A1","P8","P10",6.98,"E7","D5220-D5308",21.5,0.7,150,"P6","P120"
