"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4130","21_d","P9","C11","P11","A1","P8","P10",3.41,"G3","D4108-D4203",22,0.2,75,"P7","P126"
"2","D4134","21_d","P9","D11","P11","A1","P8","P10",4.288,"C4","D4108-D4203",17.5,4.7,75,"P7","P126"
"3","D4185","21_d","P9","E11","P11","A1","P8","P10",4.309,"F10","D4108-D4203",17.4,4.8,75,"P7","P126"
"4","D4267","21_d","P9","F11","P11","A1","P8","P10",3.563,"H8","D4204-D4299",21,1.2,75,"P12","P126"
"5","D4298","21_d","P9","G11","P11","A1","P8","P10",3.48,"G12","D4204-D4299",21.6,0.6,75,"P12","P126"
"6","D4346","21_d","P9","H11","P11","A1","P8","P10",4.143,"G6","D4300-D4395",18.1,4.1,75,"P13","P126"
"7","D4493","21_d","P9","A12","P11","A1","P8","P10",4.359,"B1","D4492-D4587",17.2,5,75,"P5","P126"
"8","D4500","21_d","P9","B12","P11","A1","P8","P10",4.456,"A2","D4492-D4587",16.8,5.4,75,"P5","P126"
"9","D4504","21_d","P9","C12","P11","A1","P8","P10",3.541,"E2","D4492-D4587",21.2,1,75,"P5","P126"
"10","D4506","21_d","P9","D12","P11","A1","P8","P10",4.04,"G2","D4492-D4587",18.6,3.6,75,"P5","P126"
"11","D4510","21_d","P9","E12","P11","A1","P8","P10",4.025,"C3","D4492-D4587",18.6,3.6,75,"P5","P126"
"12","D4511","21_d","P9","F12","P11","A1","P8","P10",4.407,"D3","D4492-D4587",17,5.2,75,"P5","P126"
"13","D4518","21_d","P9","G12","P11","A1","P8","P10",3.681,"C4","D4492-D4587",20.4,1.8,75,"P5","P126"
"14","D4543","21_d","P9","H12","P11","A1","P8","P10",4.358,"D7","D4492-D4587",17.2,5,75,"P5","P126"
