"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D5136","2_b","P12","F3","P11","A1","P8","P10",43.086,"C1","D5114-D5161",4.6,6.5,200,"P13","P77"
"2","D5242","2_b","P12","G3","P11","A1","P8","P10",64.2,"G3","D5220-D5308",3.1,8,200,"P5","P77"
"3","D5243","2_b","P12","H3","P11","A1","P8","P10",72.8,"H3","D5220-D5308",2.7,8.4,200,"P5","P77"
"4","D5244","2_b","P12","A4","P11","A1","P8","P10",18.78,"A4","D5220-D5308",10.6,0.5,200,"P5","P77"
"5","D5245","2_b","P12","B4","P11","A1","P8","P10",29.4,"B4","D5220-D5308",6.8,4.3,200,"P5","P77"
"6","D5246","2_b","P12","C4","P11","A1","P8","P10",110,"C4","D5220-D5308",1.8,9.3,200,"P5","P77"
"7","D5247","2_b","P12","D4","P11","A1","P8","P10",68.6,"D4","D5220-D5308",2.9,8.2,200,"P5","P77"
"8","D5251","2_b","P12","E4","P11","A1","P8","P10",102,"H4","D5220-D5308",2,9.1,200,"P5","P77"
"9","D5252","2_b","P12","F4","P11","A1","P8","P10",19.08,"A5","D5220-D5308",10.5,0.6,200,"P5","P77"
"10","D5253","2_b","P12","G4","P11","A1","P8","P10",73.2,"B5","D5220-D5308",2.7,8.4,200,"P5","P77"
"11","D5255","2_b","P12","H4","P11","A1","P8","P10",54.8,"D5","D5220-D5308",3.6,7.5,200,"P5","P77"
"12","D5256","2_b","P12","A5","P11","A1","P8","P10",22,"E5","D5220-D5308",9.1,2,200,"P5","P77"
"13","D5257","2_b","P12","B5","P11","A1","P8","P10",56.8,"F5","D5220-D5308",3.5,7.6,200,"P5","P77"
"14","D5259","2_b","P12","C5","P11","A1","P8","P10",68.2,"H5","D5220-D5308",2.9,8.2,200,"P5","P77"
"15","D5260","2_b","P12","D5","P11","A1","P8","P10",26.4,"A6","D5220-D5308",7.6,3.5,200,"P5","P77"
"16","D5266","2_b","P12","E5","P11","A1","P8","P10",35.2,"G6","D5220-D5308",5.7,5.4,200,"P5","P77"
"17","D5267","2_b","P12","F5","P11","A1","P8","P10",28.4,"H6","D5220-D5308",7,4.1,200,"P5","P77"
"18","D5268","2_b","P12","G5","P11","A1","P8","P10",43.6,"A7","D5220-D5308",4.6,6.5,200,"P5","P77"
"19","D5269","2_b","P12","H5","P11","A1","P8","P10",45.6,"B7","D5220-D5308",4.4,6.7,200,"P5","P77"
"20","D5270","2_b","P12","A6","P11","A1","P8","P10",24.6,"C7","D5220-D5308",8.1,3,200,"P5","P77"
"21","D5273","2_b","P12","B6","P11","A1","P8","P10",28.6,"F7","D5220-D5308",7,4.1,200,"P5","P77"
"22","D5274","2_b","P12","C6","P11","A1","P8","P10",26.6,"G7","D5220-D5308",7.5,3.6,200,"P5","P77"
