"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","notes","uL_in","water","DNA","source_loc","pool"
"1","D3649","2_a","P12","A1","P11","A1","P8","P10",17.884,"F3","D3628-D3723",NA,8.4,2.7,150,"P5","P77"
"2","D3657","2_a","P12","B1","P11","A1","P8","P10",17.372,"F4","D3628-D3723",NA,8.6,2.5,150,"P5","P77"
"3","D3665","2_a","P12","C1","P11","A1","P8","P10",14.34,"F5","D3628-D3723",NA,10.5,0.6,150,"P5","P77"
"4","D3668","2_a","P12","D1","P11","A1","P8","P10",17.039,"A6","D3628-D3723",NA,8.8,2.3,150,"P5","P77"
"5","D3669","2_a","P12","E1","P11","A1","P8","P10",14.22,"B6","D3628-D3723",NA,10.5,0.6,150,"P5","P77"
"6","D3675","2_a","P12","F1","P11","A1","P8","P10",15.679,"H6","D3628-D3723",NA,9.6,1.5,150,"P5","P77"
"7","D3703","2_a","P12","G1","P11","A1","P8","P10",15.63,"D10","D3628-D3723",NA,9.6,1.5,150,"P5","P77"
"8","D3709","2_a","P12","H1","P11","A1","P8","P10",15.745,"B11","D3628-D3723",NA,9.5,1.6,150,"P5","P77"
"9","D3712","2_a","P12","A2","P11","A1","P8","P10",14.621,"E11","D3628-D3723",NA,10.3,0.8,150,"P5","P77"
"10","D3714","2_a","P12","B2","P11","A1","P8","P10",15.604,"G11","D3628-D3723",NA,9.6,1.5,150,"P5","P77"
"11","D4704","2_a","P12","C2","P11","A1","P8","P10",14.04,"G1","D4698-D4793",NA,10.7,0.4,150,"P6","P77"
"12","D4741","2_a","P12","D2","P11","A1","P8","P10",15.14,"D6","D4698-D4793",NA,9.9,1.2,150,"P6","P77"
"13","D4784","2_a","P12","E2","P11","A1","P8","P10",16.02,"G11","D4698-D4793",NA,9.4,1.7,150,"P6","P77"
"14","D4914","2_a","P12","F2","P11","A1","P8","P10",15.791,"B12","D4888-D4946",NA,9.5,1.6,150,"P7","P77"
"15","D5233","2_a","P12","G2","P11","A1","P8","P10",17.86,"F2","D5220-D5308",NA,8.4,2.7,150,"P9","P77"
