First_ID,Loci_typed,Second_ID,Loci_typed.1,Matching_loci,Mismatching_loci,pID,pIDsib,Status,digest_id,extraction_id,sample_id,fish_table_id,anem_table_id,cap_id,fish_spp,color,size,dive_table_id,obs_time,date,site,gps
L0261,1789,L1231,1785,1660,123,0,0,Fuzzy match,D0562,E0349,APCL13_226,1001,881,NA,APCL,YP,6.2,37,12:25:30,2013-05-27,Palanas,1
L0423,1757,L2231,1664,1495,138,0,0,Fuzzy match,D0425,E0212,APCL13_087,773,745,33,APCL,O,9.8,29,15:40:45,2013-05-24,Visca,1
L0424,1783,L1738,1784,1656,120,0,0,Fuzzy match,D0427,E0214,APCL13_089,775,746,34,APCL,O,7.9,29,16:06:30,2013-05-24,Visca,1
L0434,1791,L0947,1776,1688,88,0,0,Fuzzy match,D0485,E0272,APCL13_147,896,814,38,APCL,O,11,33,11:03:30,2013-05-26,Tamakin Dacot,1
L0459,1617,L2344,1769,1452,148,0,0,Fuzzy match,D0779,E0135,APCL13_009,635,656,NA,APCL,O,10,23,12:22:00,2013-05-22,Visca,1
L0593,1652,L2871,1738,1448,151,0,0,Fuzzy match,D1385,E1058,APCL14_292,2611,2178,NA,APCL,O,7.5,88,13:43:00,2014-06-22,Sitio Baybayon,1
L0608,1682,L2905,1768,1513,146,0,0,Fuzzy match,D1400,E1099,APCL14_334,2838,2392,NA,APCL,YR,8.9,91,09:45:00,2014-06-24,Wangag,1
L0670,1789,L1740,1790,1712,76,0,0,Fuzzy match,D0897,E0684,APCL13_565,1597,1475,50,APCL,YP,9.6,56,12:54:00,2013-06-03,Sitio Baybayon,1
L0677,1790,L1741,1791,1662,128,0,0,Fuzzy match,D0915,E0702,APCL13_584,1623,1491,51,APCL,O,8.2,57,14:11:30,2013-06-03,Sitio Baybayon,1
L0678,1791,L0737,1786,1726,60,0,0,Fuzzy match,D0918,E0705,APCL13_587,1628,1493,52,APCL,O,9.1,57,14:22:00,2013-06-03,Sitio Baybayon,1
L0687,1789,L2695,1791,1623,166,0,0,Fuzzy match,D0980,E0794,APCL14_009,1797,1731,NA,APCL,O,8.1,65,09:17:00,2014-06-10,Poroc San Flower,1
L0726,1791,L1735,1789,1711,78,0,0,Fuzzy match,D1045,E0832,APCL14_049,1945,1798,50,APCL,YR,8.8,72,15:44:00,2014-06-12,Sitio Baybayon,1
