Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
4:16:38 PM,2014-03-03 4:16:38 PM,209,ng/ml,20.9,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,21229.24,
4:16:27 PM,2014-03-03 4:16:27 PM,178,ng/ml,17.8,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,18105.90,
4:16:16 PM,2014-03-03 4:16:16 PM,180,ng/ml,18.0,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,18369.94,
4:16:04 PM,2014-03-03 4:16:04 PM,269,ng/ml,26.9,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,27179.90,
4:15:54 PM,2014-03-03 4:15:54 PM,129,ng/ml,12.9,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,13213.27,
4:15:41 PM,2014-03-03 4:15:41 PM,208,ng/ml,20.8,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,21154.61,
4:15:27 PM,2014-03-03 4:15:27 PM,191,ng/ml,19.1,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,19434.61,
4:15:13 PM,2014-03-03 4:15:13 PM,188,ng/ml,18.8,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,19164.10,
4:15:01 PM,2014-03-03 4:15:01 PM,251,ng/ml,25.1,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,25450.52,
4:14:43 PM,2014-03-03 4:14:43 PM,160,ng/ml,16.0,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,16312.27,
2:33:18 PM,2014-02-28 2:33:18 PM,9.20,ng/ml,,,dsDNA HS,,,82.63,50498.06,,BLUE,1002.04,
1:45:56 PM,2014-02-28 1:45:56 PM,132,ng/ml,13.2,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,13766.11,
1:45:46 PM,2014-02-28 1:45:46 PM,157,ng/ml,15.7,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,16366.78,
1:45:36 PM,2014-02-28 1:45:36 PM,148,ng/ml,14.8,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,15415.72,
1:45:26 PM,2014-02-28 1:45:26 PM,177,ng/ml,17.7,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,18435.84,
1:45:15 PM,2014-02-28 1:45:15 PM,17.2,ng/ml,1.72,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,1817.92,
