Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
10:48:35 AM,2014-03-28 10:48:35 AM,239,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,21978.35,
10:48:26 AM,2014-03-28 10:48:26 AM,201,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,18522.46,
10:48:18 AM,2014-03-28 10:48:18 AM,197,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,18237.15,
10:48:12 AM,2014-03-28 10:48:12 AM,194,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,17899.22,
10:48:05 AM,2014-03-28 10:48:05 AM,25.5,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,2414.77,
10:47:59 AM,2014-03-28 10:47:59 AM,12.4,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,1222.06,
10:47:49 AM,2014-03-28 10:47:49 AM,14.0,ng/ml,1.40,ng/킠,dsDNA HS,2,100.00,112.80,44873.29,,BLUE,1369.55,
10:47:41 AM,2014-03-28 10:47:41 AM,126,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,11700.52,
10:47:29 AM,2014-03-28 10:47:29 AM,210,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,19391.41,
10:47:13 AM,2014-03-28 10:47:13 AM,38.7,ng/ml,3.87,ng/킠,dsDNA HS,2,100.00,112.80,44873.29,,BLUE,3634.34,
10:47:06 AM,2014-03-28 10:47:06 AM,253,ng/ml,,,dsDNA HS,,,112.80,44873.29,,BLUE,23235.42,
10:46:57 AM,2014-03-28 10:46:57 AM,260,ng/ml,26.0,ng/킠,dsDNA HS,2,100.00,112.80,44873.29,,BLUE,23920.22,
10:46:45 AM,2014-03-28 10:46:45 AM,201,ng/ml,20.1,ng/킠,dsDNA HS,2,100.00,112.80,44873.29,,BLUE,18524.49,
9:08:09 AM,2014-03-27 9:08:09 AM,3.45,ng/ml,,,dsDNA HS,,,75.50,48170.73,,BLUE,398.44,
9:07:54 AM,2014-03-27 9:07:54 AM,0.58,ng/ml,,,dsDNA HS,,,75.50,48170.73,,BLUE,128.04,
