id,DiveNum,ObsTime,Collector,GPS,Depth_m,Depth_ft,AnemSpp,AnemDia,oldAnemID,AnemID,AnemSampleID,Spp,Size1,Col1,Recap1,TagID1,ID1,Size2,Col2,Recap2,TagID2,ID2,Size3,Col3,Recap3,TagID3,ID3,Size4,Col4,Recap4,TagID4,ID4,Size5,Col5,Recap5,TagID5,ID5,Size6,Col6,Recap6,TagID6,ID6,Size7,Col7,Recap7,TagID7,ID7,Spp2,Spp2Size1,Spp2Size2,Spp2Size3,Spp2Size4,Notes
1,1,15:29:00,MLP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOBO 1 10537872 replaced with 10637192
2,1,15:45:00,MLP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOBO 2 10718540 replaced with 10637193
3,1,16:10:00,MLP,3,,,ENQD,45,,,,APFR,7.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNOD
4,1,16:13:00,MLP,3,,,????,,,,,APFR,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,16:19:00,MLP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,giant clam
1082,1,16:22:00,MLP,3,,,HECR,25,,,,APCL,9.0,YP,,985153000371477,,9.9,O,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anem ID zip tie worn away, bottle nearby, size of YP guessed, anem is brown"
6,1,16:42:00,MLP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,artificial reef
7,1,16:50:00,MLP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"back to 16:22, measured O again, 9.4, caught the yp"
8,2,10:19:00,MRS,3,3.5,,HECR,25,1200,2173,,APCL,2.0,YR,N,,,3.5,YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,2,10:28:00,MRS,3,2.6,,????,,,,,APCL,6.8,O,N,985153000403137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,2,10:32:00,MRS,3,2.6,,HECR,30,806,2174,,APCL,9.6,YP,Y,985153000372731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,10:32:00,MRS,3,2.6,,HECR,30,,,,APPE,7.0,,,,,5,,,,,5,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,10:32:00,MRS,3,2.6,,HECR,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2,10:34:00,MRS,3,2.8,,EMPT,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,2,10:43:00,MRS,3,2.5,,ENQD,,,2175,,APCL,9.5,O,N,985153000403248,2,9.9,YR,N,985153000352732,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,10:48:00,MRS,3,2.5,,HECR,25,,798,,APPE,7.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,10:50:00,MRS,3,2.1,,HECR,25,,799,,APPE,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,10:51:00,MRS,3,2.3,,HECR,25,,2176,,APCL,3.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,10:52:00,MRS,3,2.5,,HECR,40,,830,,APPE,9.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,10:53:00,MRS,3,2.5,,HECR,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,10:56:00,MRS,3,2.5,,ENQD,40,,,,APFR,7.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,2,11:05:00,MRS,3,2.5,,HECR,35,494,2177,,APCL,10.0,YP,Y,985153000368572,,9,O,N,985153000405540,4,6.1,YR,N,985153000403897,5,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,11:06:00,MRS,3,2.6,,HECR,25,,,,APCL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPE,2,,,,
19,2,11:10:00,MRS,3,2.4,,HECR,30,,,,APCL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPE,7,,,,
1286,2,11:15:00,MRS,3,2.4,,HECR,30,402,2178,,APCL,7.7,O,N,985153000407417,6,6.8,YR,N,985153000405478,7,6,YR,N,985153000400949,8,5.0,YR,,,,,,,,,,,,,,,,,,,,,,,,
1258,2,11:25:00,MRS,3,2.8,,ENQD,30,810,2179,,APCL,9.2,YP,N,985153000406476,9,7.5,YR,N,985153000402239,10,,,,,,,,,,,,,,,,,,,,,,,,,,APFR,3,,,,There was an orange tail fish that got away
1011,2,11:33:00,MRS,3,2.9,,HECR,30,401,2180,,APCL,6.0,YR,N,985153000353312,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPE,3,3,,,
20,2,11:37:00,MRS,3,2.4,,ENQD,40,,,,APCL,12.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,2,11:40:00,MRS,3,2.4,,????,,,,,APCL,8.3,YR,N,985153000405853,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2,11:44:00,MRS,3,2.4,,HECR,40,,532,,APPE,7.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,11:45:00,MRS,3,2.4,,HECR,30,,530,,APPE,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,11:47:00,MRS,3,2.4,,HECR,30,,2162,,APPE,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2,11:50:00,MRS,3,3.1,,HECR,20,,1002,,APCL,3.0,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,11:51:00,MRS,3,3.3,,HECR,15,,762,,APCL,0.5,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,2,12:05:00,MRS,3,3.1,,HECR,20,1018,2181,,APCL,7.8,O,N,985153000407128,13,9.2,YR,N,985153000402535,14,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The 8.5cm fish swam away before tail color or scan
26,3,13:43:00,MRS,3,2.3,,STME,40,,,,APOC,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,13:44:00,MRS,3,2.3,,HECR,10,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,13:45:00,MRS,3,2.4,,HECR,30,,738,,APCL,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,13:53:00,MRS,3,,,EMPT,,,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,3,13:55:00,MRS,3,2.3,,HECR,30,,2161,,APCL,6.5,O,N,985153000402570,19,8,YP,N,985153000406811,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,13:56:00,MRS,3,2.3,,HECR,35,,,,APCL,3.5,YR,,,,3,YR,,,,2.5,YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,3,13:58:00,MRS,3,2.5,,HECR,30,,2182,,APCL,7.4,O,N,985153000407233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3,14:00:00,MRS,3,1.9,,HECR,30,,,,APCL,1.5,YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3,14:01:00,MRS,3,1.9,,HECR,30,,,,APCL,1.5,YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3,14:07:00,MRS,3,2.2,,HECR,30,,765,,APPE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3,14:08:00,MRS,3,2.1,,HECR,15,,,,APCL,3,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,14:10:00,MRS,3,2.1,,HECR,15,,747,,APCL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,3,14:15:00,MRS,3,2.3,,HECR,30,,2183,,APCL,6.8,YP,N,985153000401628,16,9.1,O,N,985153000404860,17,6.5,YR,N,985153000401362,18,5,,,,,,,,,,,,,,,,,,,,,,,,,
36,3,14:20:00,MRS,3,3.3,,MADO,40,,,,APCL,3,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,14:34:00,MRS,3,2.9,,HECR,30,,2160,,APCL,1,BW,,,,2.5,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,3,14:44:00,MRS,3,3.7,,HECR,25,807,2184,,APCL,10,O,N,985153000404750,21,9.8,YP,N,985153000405154,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
