fish_table_id,anem_table_id,fish_spp,size,fin_id,sample_id,color,gen_id,recap,tag_id,fish_obs_time,notes,collector,correction,corr_date,corr_editor,corr_message
7784,7572,APCL,3.4,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7960,7727,APCL,3.3,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7882,7686,APCL,8.3,NA,NA,O,NA,NA,NA,NA,8.3cm fish escaped ,MRS,NA,NA,NA,NA
8337,8016,APCL,3.5,NA,NA,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
8004,7770,APCL,3.3,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7745,7446,APCL,3.4,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8319,8002,APCL,3.5,NA,NA,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7161,6997,APCL,3.4,NA,NA,YR,NA,N,NA,NA,"Caught but too small to collect sample, this fish and the fish on 2226 swim back and forth between anemones",MRS,NA,NA,NA,NA
7816,7640,APCL,3.2,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
6803,6792,APCL,3.5,NA,NA,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7768,7492,APCL,3.2,NA,NA,YR,NA,N,NA,NA,,MRS,NA,NA,NA,NA
8188,7937,APCL,3.2,NA,NA,W,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8286,7989,APCL,3.2,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8079,7816,APCL,3.4,NA,NA,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7872,7679,APCL,3.2,NA,NA,YR,NA,N,NA,NA,Fish 466 squirted eggs when PIT tag was inserted,MRS,NA,NA,NA,NA
7812,7603,APCL,3.4,NA,NA,YR,NA,N,NA,NA,Fish 433 had very long pectorial fins,MRS,NA,NA,NA,NA
6877,6837,APCL,4.5,NA,NA,NA,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7421,7156,APCL,2.9,NA,NA,YR,NA,NA,NA,NA,NA,MLP,NA,NA,NA,NA
6846,6818,APCL,8.5,NA,NA,NA,NA,NA,NA,NA,The 8.5cm fish swam away before tail color or scan,MRS,NA,NA,NA,NA
7434,7162,APCL,2.9,NA,NA,YR,NA,NA,NA,NA,One tag,MLP,NA,NA,NA,NA
7219,7031,APCL,3.5,NA,NA,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7092,6957,APCL,2.9,NA,NA,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7683,7385,APCL,3.5,337,APCL16_337,YR,NA,NA,NA,NA,NA,MRS,Y,2017-08-14,MRS,This sample_id was missing from the original excel spreadsheet but was written on the datasheet at 12:02 on dive 34 on 5/29/16.  Added to database in 2017.
7081,6951,APCL,10.6,94,APCL16_094,YP,NA,N,985153000399653,NA,NA,MRS,NA,NA,NA,NA
7465,7189,APCL,3.1,NA,NA,W,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7593,7319,APCL,10.5,286,APCL16_286,YP,NA,Y,985153000371766,NA,These fish swim back and forth between anem 2306 and 2307,MRS,NA,NA,NA,NA
7721,7402,APCL,8.5,366,APCL16_366,O,NA,N,985153000371280,NA,NA,MRS,NA,NA,NA,NA
7977,7747,APCL,8.8,534,APCL16_534,O,NA,N,985153000403220,NA,NA,MRS,NA,NA,NA,NA
8105,7837,APCL,7.7,632,APCL16_632,YR,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
6885,6837,APCL,1,NA,NA,NA,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
8261,7979,APCL,5,742,APCL16_742,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8325,8004,APCL,8.7,773,APCL16_773,O,NA,N,986112100163915,NA,773 WAS PREVIOUSLY CLIPPED,MRS,NA,NA,NA,NA
8021,7780,APCL,3.2,NA,NA,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8245,7971,APCL,3.8,731,APCL16_731,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8221,7956,APCL,3.2,NA,NA,BW,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
8229,7962,APCL,5.8,724,APCL16_724,YP,NA,N,985153000363563,NA,NA,MRS,NA,NA,NA,NA
8253,7976,APCL,8.3,735,APCL16_735,O,NA,N,985153000405702,NA,NA,MRS,NA,NA,NA,NA
8195,7940,APCL,6.7,702,APCL16_702,O,NA,N,985153000367950,NA,NA,MRS,NA,NA,NA,NA
8234,7965,APCL,4.5,727,APCL16_727,W,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8285,7989,APCL,12.3,748,APCL16_748,YP,NA,Y,985153000370613,NA,NA,MRS,NA,NA,NA,NA
8298,7992,APCL,8.8,758,APCL16_758,YP,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
8324,8003,APCL,9.9,772,APCL16_772,YP,NA,N,986112100175979,NA,"fish 772 looks previously clipped; used last blue pit tag and first orange pit tag, 371588 IS A RECAP FROM 2015, NOT 2016",MRS,NA,NA,NA,NA
8313,7999,APCL,12.7,767,APCL16_767,YP,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
8323,8003,APCL,9,NA,NA,O,NA,Y,985153000371588,NA,"fish 772 looks previously clipped; used last blue pit tag and first orange pit tag, 371588 IS A RECAP FROM 2015, NOT 2016",MRS,NA,NA,NA,NA
8349,8026,APCL,9,784,APCL16_784,O,NA,N,986112100164868,NA,784 already cut,MRS,NA,NA,NA,NA
8357,8032,APCL,8.8,788,APCL16_788,O,NA,N,986112100175857,NA,788 ALREADY CUT,MRS,NA,NA,NA,NA
8381,8082,APCL,7.4,808,APCL16_808,O,NA,N,986112100164794,NA,NA,MRS,Y,2017-08-28,MRS,Changed fin_id from null to 808 and sample_id from null to APCL16_808 because this information was recorded on the data sheet but not entered in excel.
8389,8090,APCL,6,NA,NA,YR,NA,Y,985153000403761,NA,NA,MRS,NA,NA,NA,NA
8213,7951,APCL,5.4,715,APCL16_715,YR,NA,N,985153000364747,NA,NA,MRS,NA,NA,NA,NA
8200,7942,APCL,5.3,704,APCL16_704,YR,NA,N,985153000356731,NA,NA,MRS,NA,NA,NA,NA
8405,8099,APCL,5.1,815,APCL16_815,YR,NA,N,986112100171979,NA,fish 815 looks cut,MRS,NA,NA,NA,NA
8373,8050,APCL,8,801,APCL16_801,O,NA,N,986112100165213,NA,NA,MRS,NA,NA,NA,NA
8277,7986,APCL,6.4,743,APCL16_743,YP,NA,N,985153000354454,NA,NA,MRS,NA,NA,NA,NA
8199,7942,APCL,4.8,703,APCL16_703,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
8362,8035,APCL,6,NA,NA,YR,NA,Y,985153000400302,NA,NA,MRS,NA,NA,NA,NA
8386,8087,APCL,9.2,811,APCL16_811,Y,NA,N,986112100172037,NA,811 looks cut,MRS,NA,NA,NA,NA
8393,8093,APCL,5,NA,NA,YR,NA,Y,985153000404810,NA,NA,MRS,NA,NA,NA,NA
8353,8030,APCL,7,786,APCL16_786,YR,NA,N,986112100172058,NA,NA,MRS,NA,NA,NA,NA
8338,8018,APCL,7.7,779,APCL16_779,YP,NA,N,986112100163378,NA,779 looks previously clipped,MRS,NA,NA,NA,NA
8322,8003,APCL,6.5,771,APCL16_771,O,NA,N,985153000355139,NA,"fish 772 looks previously clipped; used last blue pit tag and first orange pit tag, 371588 IS A RECAP FROM 2015, NOT 2016",MRS,NA,NA,NA,NA
8260,7979,APCL,6,741,APCL16_741,O,NA,N,985153000370223,NA,NA,MRS,NA,NA,NA,NA
8258,7978,APCL,3.6,739,APCL16_739,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
