Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 7/19/2016 2:54:43 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_107_30    2     1537  0.498  0.489  0.369  0.880  0.815  0.722  0.381  0.601   NS  -0.0088
dDocent_Contig_223_125    2     1509  0.459  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS   0.0371
dDocent_Contig_281_52    2     1507  0.529  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0310
dDocent_Contig_300_134    2     1517  0.485  0.496  0.373  0.877  0.814  0.720  0.377  0.596   NS   0.0110
dDocent_Contig_308_42    2     1514  0.486  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0060
dDocent_Contig_674_43    2     1513  0.474  0.485  0.367  0.883  0.816  0.724  0.383  0.603   NS   0.0111
dDocent_Contig_724_114    2     1514  0.493  0.489  0.369  0.880  0.815  0.722  0.381  0.601   NS  -0.0037
dDocent_Contig_784_30    2     1511  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0099
dDocent_Contig_807_110    2     1503  0.508  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0137
dDocent_Contig_969_24    2     1531  0.483  0.488  0.369  0.881  0.816  0.723  0.381  0.601   NS   0.0048
dDocent_Contig_1027_63    2     1527  0.491  0.485  0.367  0.882  0.816  0.723  0.383  0.603   NS  -0.0061
dDocent_Contig_1113_70    2     1497  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0092
dDocent_Contig_1118_45    2     1515  0.492  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0055
dDocent_Contig_1152_37    2     1510  0.497  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0163
dDocent_Contig_1194_89    2     1523  0.519  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0206
dDocent_Contig_1491_64    2     1507  0.510  0.484  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0255
dDocent_Contig_1491_94    2     1507  0.481  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0161
dDocent_Contig_1583_70    2     1521  0.458  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0435
dDocent_Contig_1675_35    2     1523  0.515  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0176
dDocent_Contig_1777_104    2     1541  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0101
dDocent_Contig_1777_116    2     1541  0.489  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0114
dDocent_Contig_1777_143    2     1528  0.486  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0146
dDocent_Contig_1841_7    2     1514  0.522  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0236
dDocent_Contig_1841_46    2     1514  0.509  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0106
