Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 12/31/2015 9:34:01 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_7182    5      941  0.677  0.676  0.628  0.737  0.566  0.381  0.153  0.450   NS  -0.0027
dDocent_Contig_42401    3      948  0.561  0.556  0.456  0.846  0.743  0.616  0.298  0.547   NS  -0.0057
dDocent_Contig_15113    9      943  0.639  0.644  0.609  0.752  0.572  0.373  0.161  0.468   NS   0.0021
dDocent_Contig_29529    2      968  0.492  0.474  0.362  0.888  0.819  0.727  0.389  0.610   NS  -0.0182
dDocent_Contig_16626    3      945  0.576  0.589  0.510  0.827  0.695  0.551  0.248  0.518   NS   0.0110
dDocent_Contig_9205    3      959  0.367  0.369  0.330  0.932  0.817  0.699  0.437  0.675   NS   0.0026
dDocent_Contig_113555    2      967  0.124  0.125  0.118  0.992  0.941  0.893  0.773  0.880   ND   0.0052
dDocent_Contig_131627    2      948  0.285  0.268  0.232  0.964  0.884  0.807  0.572  0.759   NS  -0.0307
dDocent_Contig_3134    4      937  0.466  0.465  0.435  0.885  0.731  0.566  0.317  0.597   NS  -0.0113
dDocent_Contig_137582    2      945  0.248  0.236  0.208  0.972  0.896  0.824  0.612  0.785   NS  -0.0246
dDocent_Contig_848    3      950  0.457  0.438  0.388  0.904  0.779  0.648  0.366  0.623   NS  -0.0284
dDocent_Contig_41526    5      945  0.328  0.338  0.322  0.940  0.811  0.674  0.454  0.695   NS   0.0129
dDocent_Contig_99039   12      905  0.710  0.694  0.639  0.726  0.559  0.382  0.148  0.440   NS  -0.0124
dDocent_Contig_21868    3      961  0.343  0.329  0.301  0.946  0.833  0.718  0.479  0.705   NS  -0.0290
dDocent_Contig_55563    4      947  0.138  0.136  0.129  0.991  0.933  0.877  0.753  0.870   ND  -0.0145
dDocent_Contig_153082    2      949  0.132  0.132  0.123  0.991  0.938  0.888  0.762  0.874   ND   0.0016
dDocent_Contig_66552    5      920  0.673  0.668  0.608  0.756  0.595  0.424  0.170  0.459   NS  -0.0059
dDocent_Contig_156048    2      948  0.402  0.379  0.307  0.928  0.847  0.760  0.458  0.675   NS  -0.0298
dDocent_Contig_6015    2      941  0.491  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS   0.0079
dDocent_Contig_10418    3      949  0.383  0.387  0.346  0.925  0.807  0.684  0.417  0.661   NS   0.0015
dDocent_Contig_115745    2      945  0.381  0.380  0.308  0.928  0.846  0.759  0.457  0.674   NS  -0.0013
dDocent_Contig_35485    2      972  0.416  0.424  0.334  0.910  0.833  0.744  0.422  0.644   NS   0.0095
dDocent_Contig_15285    7      932  0.628  0.645  0.580  0.769  0.617  0.445  0.191  0.475   NS   0.0137
dDocent_Contig_30105    2      947  0.215  0.212  0.189  0.978  0.905  0.837  0.644  0.805   NS  -0.0085
dDocent_Contig_40875    4      936  0.699  0.676  0.611  0.759  0.601  0.439  0.170  0.455   NS  -0.0178
dDocent_Contig_44942    7      935  0.626  0.607  0.550  0.805  0.649  0.482  0.212  0.499   NS  -0.0155
dDocent_Contig_2679    4      939  0.514  0.513  0.478  0.859  0.699  0.526  0.273  0.562   NS  -0.0053
dDocent_Contig_69148    3      937  0.529  0.547  0.442  0.851  0.754  0.632  0.310  0.554   NS   0.0145
dDocent_Contig_67435   10      943  0.495  0.502  0.395  0.874  0.791  0.684  0.355  0.588   NS   0.0040
dDocent_Contig_26649    4      947  0.202  0.209  0.201  0.978  0.890  0.800  0.634  0.804   NS   0.0317
dDocent_Contig_9801    4      941  0.491  0.507  0.454  0.869  0.728  0.578  0.296  0.571   NS   0.0182
dDocent_Contig_15484    8      926  0.616  0.630  0.573  0.781  0.622  0.447  0.194  0.484   NS   0.0091
dDocent_Contig_26246    4      933  0.577  0.580  0.538  0.817  0.650  0.471  0.219  0.515   NS   0.0028
dDocent_Contig_165539    2      944  0.148  0.153  0.142  0.988  0.929  0.873  0.729  0.855   NS   0.0168
dDocent_Contig_101900    6      933  0.424  0.414  0.390  0.909  0.763  0.606  0.367  0.635   NS  -0.0190
dDocent_Contig_1330   19      904  0.850  0.883  0.871  0.387  0.238  0.088  0.025  0.315   NS   0.0192
dDocent_Contig_96163    2      944  0.115  0.116  0.110  0.993  0.945  0.899  0.788  0.889   ND   0.0034
dDocent_Contig_16999    6      936  0.348  0.369  0.350  0.928  0.791  0.643  0.417  0.670   NS   0.0303
dDocent_Contig_13333    2      942  0.531  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0300
dDocent_Contig_120302    8      927  0.689  0.715  0.670  0.688  0.515  0.325  0.126  0.424   NS   0.0190
dDocent_Contig_1675    9      924  0.627  0.625  0.565  0.784  0.628  0.454  0.200  0.488   NS  -0.0062
dDocent_Contig_105382    2      965  0.188  0.192  0.173  0.982  0.913  0.849  0.672  0.822   NS   0.0104
dDocent_Contig_14841    9      941  0.586  0.612  0.578  0.781  0.602  0.405  0.184  0.490   NS   0.0253
dDocent_Contig_6747    2      944  0.493  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0048
dDocent_Contig_127920    2      947  0.394  0.399  0.319  0.920  0.840  0.752  0.441  0.661   NS   0.0062
dDocent_Contig_24155    5      926  0.690  0.680  0.630  0.733  0.564  0.380  0.153  0.448   NS  -0.0113
dDocent_Contig_2664    5      934  0.522  0.534  0.498  0.845  0.681  0.504  0.253  0.546   NS   0.0080
dDocent_Contig_33087    3      953  0.192  0.213  0.202  0.977  0.891  0.804  0.631  0.801   NS   0.0531
dDocent_Contig_113447    2      947  0.137  0.141  0.131  0.990  0.935  0.882  0.749  0.867   NS   0.0116
dDocent_Contig_9139    2      945  0.132  0.127  0.119  0.992  0.940  0.891  0.770  0.879   ND  -0.0196
