Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 12/20/2016 4:40:53 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI
dDocent_Contig_107_30    2     1709  0.489  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_223_125    2     1700  0.447  0.494  0.372  0.878  0.814  0.721  0.378  0.598
dDocent_Contig_281_52    2     1709  0.513  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_300_134    2     1702  0.468  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_308_42    2     1703  0.470  0.493  0.372  0.878  0.814  0.721  0.379  0.598
dDocent_Contig_674_43    2     1706  0.458  0.485  0.367  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_724_114    2     1689  0.481  0.488  0.369  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_784_30    2     1703  0.470  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_807_110    2     1711  0.489  0.493  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_969_24    2     1710  0.475  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_1027_63    2     1708  0.478  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_1113_70    2     1708  0.470  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1118_45    2     1712  0.471  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_1152_37    2     1709  0.476  0.481  0.366  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_1194_89    2     1710  0.509  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1491_64    2     1703  0.484  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_1491_94    2     1703  0.469  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1583_70    2     1701  0.446  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1675_35    2     1711  0.497  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1777_104    2     1702  0.471  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1777_116    2     1702  0.471  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1777_143    2     1700  0.464  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1841_7    2     1706  0.504  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1841_46    2     1706  0.496  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_1979_32    2     1700  0.467  0.491  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_1979_123    2     1701  0.479  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_1998_62    2     1698  0.474  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_2048_116    2     1705  0.488  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_2120_51    2     1709  0.506  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_2120_81    2     1709  0.501  0.483  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_2120_113    2     1709  0.497  0.482  0.366  0.884  0.817  0.724  0.385  0.605
dDocent_Contig_2121_53    2     1715  0.486  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_2196_92    2     1714  0.505  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_2202_49    2     1700  0.469  0.496  0.373  0.877  0.814  0.720  0.377  0.596
dDocent_Contig_2397_79    2     1710  0.495  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_2432_136    2     1693  0.445  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_2682_72    2     1709  0.486  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_2832_124    2     1705  0.501  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_2863_61    2     1720  0.483  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_2914_36    2     1703  0.466  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_2914_65    2     1703  0.456  0.484  0.367  0.883  0.817  0.724  0.383  0.604
dDocent_Contig_2915_110    2     1704  0.477  0.491  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_3300_90    2     1710  0.475  0.489  0.370  0.880  0.815  0.722  0.381  0.600
dDocent_Contig_3383_30    2     1711  0.465  0.482  0.366  0.884  0.817  0.725  0.385  0.605
dDocent_Contig_3492_32    2     1697  0.451  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_3493_53    2     1711  0.465  0.485  0.367  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_3525_64    2     1710  0.481  0.485  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_3563_109    2     1698  0.443  0.480  0.365  0.885  0.818  0.725  0.385  0.606
dDocent_Contig_3658_133    2     1705  0.471  0.491  0.371  0.879  0.815  0.722  0.380  0.599
dDocent_Contig_3794_86    2     1703  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_3914_49    2     1698  0.456  0.499  0.374  0.876  0.813  0.719  0.376  0.594
dDocent_Contig_3999_105    2     1706  0.484  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_4000_96    2     1715  0.471  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_4077_10    2     1711  0.489  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_4077_89    2     1711  0.487  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_4151_132    2     1700  0.462  0.485  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_4311_57    2     1704  0.492  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_4648_8    2     1707  0.480  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_4673_110    2     1708  0.475  0.500  0.375  0.875  0.813  0.719  0.375  0.594
