Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 11/19/2015 1:14:58 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_179113    2      493  0.444  0.420  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0288
dDocent_Contig_13724    2      493  0.144  0.141  0.131  0.990  0.935  0.882  0.749  0.867   ND  -0.0122
dDocent_Contig_1243    4      493  0.339  0.328  0.311  0.944  0.819  0.687  0.469  0.703   NS  -0.0246
dDocent_Contig_98463    2      493  0.256  0.253  0.220  0.968  0.890  0.815  0.591  0.772   NS  -0.0065
dDocent_Contig_13832    2      493  0.556  0.496  0.373  0.877  0.814  0.720  0.378  0.597   NS  -0.0578
dDocent_Contig_13916    4      491  0.352  0.361  0.340  0.932  0.800  0.660  0.429  0.677   NS   0.0054
dDocent_Contig_132934    2      491  0.244  0.230  0.203  0.974  0.898  0.827  0.620  0.790   NS  -0.0310
dDocent_Contig_59671    2      493  0.487  0.428  0.336  0.908  0.832  0.742  0.419  0.641   NS  -0.0642
dDocent_Contig_7811    2      493  0.128  0.127  0.119  0.992  0.941  0.892  0.771  0.879   ND  -0.0044
dDocent_Contig_29529    2      493  0.515  0.469  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0471
dDocent_Contig_9205    3      492  0.384  0.379  0.338  0.928  0.812  0.692  0.427  0.668   NS  -0.0063
dDocent_Contig_186093    2      493  0.239  0.223  0.198  0.975  0.901  0.831  0.629  0.796   NS  -0.0355
dDocent_Contig_113555    2      492  0.102  0.100  0.095  0.995  0.952  0.912  0.815  0.904   ND  -0.0075
dDocent_Contig_15733    2      493  0.402  0.362  0.296  0.934  0.852  0.766  0.473  0.687   NS  -0.0519
dDocent_Contig_146613    2      493  0.454  0.400  0.320  0.920  0.840  0.752  0.440  0.660   NS  -0.0642
dDocent_Contig_47150    2      493  0.118  0.111  0.105  0.994  0.948  0.904  0.797  0.894   ND  -0.0213
dDocent_Contig_55552    2      493  0.211  0.192  0.173  0.982  0.913  0.849  0.671  0.822   NS  -0.0472
dDocent_Contig_71842    4      490  0.316  0.313  0.298  0.949  0.828  0.699  0.487  0.715   NS   0.0006
dDocent_Contig_53594    2      493  0.529  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0294
dDocent_Contig_89484    2      493  0.114  0.114  0.108  0.993  0.946  0.901  0.791  0.891   ND   0.0031
dDocent_Contig_27556    2      491  0.134  0.143  0.133  0.990  0.934  0.881  0.745  0.865   ND   0.0303
dDocent_Contig_49596    2      493  0.108  0.105  0.100  0.994  0.950  0.908  0.806  0.899   ND  -0.0102
dDocent_Contig_21868    4      491  0.330  0.322  0.305  0.946  0.824  0.695  0.477  0.708   NS  -0.0206
dDocent_Contig_55612    2      493  0.176  0.161  0.148  0.987  0.926  0.868  0.717  0.849   ND  -0.0388
dDocent_Contig_55563    4      492  0.124  0.125  0.119  0.992  0.939  0.887  0.772  0.881   ND  -0.0018
dDocent_Contig_95068    2      491  0.216  0.215  0.192  0.977  0.904  0.836  0.640  0.803   NS  -0.0031
dDocent_Contig_153636    2      493  0.215  0.220  0.196  0.976  0.902  0.833  0.633  0.798   NS   0.0112
dDocent_Contig_7611    2      489  0.262  0.257  0.224  0.967  0.888  0.813  0.585  0.768   NS  -0.0095
dDocent_Contig_126120    2      493  0.377  0.360  0.295  0.935  0.852  0.767  0.475  0.689   NS  -0.0236
dDocent_Contig_6455    3      492  0.303  0.299  0.279  0.955  0.845  0.733  0.512  0.728   NS   0.0002
dDocent_Contig_115745    2      493  0.396  0.384  0.310  0.926  0.845  0.758  0.454  0.672   NS  -0.0155
dDocent_Contig_35485    2      493  0.434  0.436  0.341  0.905  0.830  0.740  0.413  0.636   NS   0.0017
dDocent_Contig_18865    2      493  0.105  0.104  0.098  0.995  0.951  0.909  0.809  0.900   ND  -0.0093
dDocent_Contig_94405    2      493  0.112  0.120  0.112  0.993  0.944  0.897  0.782  0.886   ND   0.0349
dDocent_Contig_71359    3      492  0.589  0.555  0.487  0.846  0.710  0.563  0.266  0.539   NS  -0.0338
dDocent_Contig_34993    2      493  0.178  0.166  0.152  0.986  0.924  0.865  0.709  0.844   ND  -0.0366
dDocent_Contig_72471    2      492  0.268  0.273  0.235  0.963  0.882  0.805  0.567  0.755   NS   0.0075
dDocent_Contig_67441    2      493  0.189  0.178  0.162  0.984  0.919  0.858  0.692  0.834   ND  -0.0307
dDocent_Contig_59829    2      493  0.513  0.471  0.360  0.889  0.820  0.728  0.391  0.613   NS  -0.0435
dDocent_Contig_74263    5      488  0.428  0.421  0.398  0.905  0.756  0.595  0.358  0.629   NS  -0.0190
dDocent_Contig_26488    2      493  0.542  0.487  0.368  0.881  0.816  0.723  0.382  0.602   NS  -0.0532
dDocent_Contig_252259    2      493  0.282  0.271  0.234  0.963  0.883  0.806  0.569  0.757   NS  -0.0207
dDocent_Contig_39074    2      486  0.218  0.256  0.223  0.967  0.889  0.814  0.587  0.769   NS   0.0785
dDocent_Contig_40392    2      493  0.515  0.478  0.363  0.886  0.818  0.726  0.387  0.608   NS  -0.0382
dDocent_Contig_21275    2      493  0.112  0.113  0.106  0.994  0.947  0.902  0.794  0.892   ND   0.0043
dDocent_Contig_2622    4      491  0.299  0.291  0.275  0.957  0.844  0.726  0.519  0.735   NS  -0.0210
dDocent_Contig_211069    2      493  0.150  0.146  0.135  0.989  0.932  0.879  0.740  0.862   ND  -0.0149
dDocent_Contig_113250    2      493  0.446  0.457  0.352  0.896  0.824  0.733  0.399  0.621   NS   0.0116
dDocent_Contig_91366    2      493  0.351  0.332  0.277  0.945  0.862  0.778  0.502  0.710   NS  -0.0281
dDocent_Contig_72774    2      493  0.564  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0604
dDocent_Contig_33019    2      491  0.550  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0495
dDocent_Contig_24871    2      493  0.191  0.195  0.176  0.981  0.912  0.847  0.667  0.819   NS   0.0114
dDocent_Contig_50519    2      493  0.396  0.404  0.322  0.918  0.839  0.751  0.437  0.657   NS   0.0106
dDocent_Contig_96163    2      493  0.130  0.129  0.120  0.992  0.940  0.891  0.768  0.878   ND  -0.0054
dDocent_Contig_100570    2      493  0.197  0.203  0.182  0.979  0.909  0.842  0.656  0.813   NS   0.0155
dDocent_Contig_142215    2      493  0.329  0.304  0.257  0.954  0.871  0.791  0.531  0.731   NS  -0.0396
dDocent_Contig_174999    2      493  0.469  0.485  0.367  0.882  0.816  0.724  0.383  0.603   NS   0.0170
dDocent_Contig_9363    2      492  0.110  0.107  0.102  0.994  0.949  0.906  0.803  0.897   ND  -0.0111
dDocent_Contig_12639    4      492  0.228  0.224  0.203  0.975  0.896  0.820  0.623  0.794   NS  -0.0084
dDocent_Contig_180319    2      492  0.278  0.268  0.232  0.964  0.884  0.807  0.572  0.759   NS  -0.0188
dDocent_Contig_21482    2      493  0.148  0.154  0.142  0.988  0.929  0.873  0.727  0.855   ND   0.0202
dDocent_Contig_136637    2      493  0.152  0.148  0.137  0.989  0.932  0.877  0.738  0.861   ND  -0.0158
dDocent_Contig_42490    2      493  0.426  0.436  0.341  0.905  0.830  0.740  0.413  0.636   NS   0.0111
dDocent_Contig_56224    3      492  0.272  0.281  0.262  0.961  0.855  0.748  0.536  0.744   NS   0.0125
dDocent_Contig_64336    2      492  0.343  0.325  0.272  0.947  0.864  0.781  0.508  0.715   NS  -0.0275
dDocent_Contig_80811    3      491  0.415  0.398  0.363  0.921  0.792  0.658  0.397  0.650   NS  -0.0311
dDocent_Contig_19083    2      492  0.120  0.116  0.110  0.993  0.945  0.899  0.788  0.889   ND  -0.0153
dDocent_Contig_8133    2      493  0.284  0.272  0.235  0.963  0.883  0.805  0.567  0.756   NS  -0.0218
dDocent_Contig_140541    2      493  0.394  0.358  0.294  0.936  0.853  0.768  0.477  0.690   NS  -0.0477
dDocent_Contig_76419    2      493  0.101  0.096  0.092  0.995  0.954  0.915  0.821  0.907   ND  -0.0168
dDocent_Contig_166947    2      492  0.484  0.474  0.361  0.888  0.819  0.727  0.390  0.611   NS  -0.0111
dDocent_Contig_9916    2      492  0.278  0.285  0.244  0.960  0.878  0.799  0.552  0.746   NS   0.0107
dDocent_Contig_123679    2      493  0.241  0.262  0.228  0.966  0.886  0.810  0.579  0.764   NS   0.0413
dDocent_Contig_97548    2      492  0.400  0.382  0.309  0.927  0.845  0.759  0.455  0.673   NS  -0.0235
dDocent_Contig_95891    2      492  0.165  0.171  0.157  0.985  0.922  0.862  0.702  0.840   ND   0.0194
dDocent_Contig_165    2      493  0.235  0.226  0.200  0.974  0.900  0.829  0.625  0.793   NS  -0.0203
dDocent_Contig_24784    2      493  0.302  0.310  0.262  0.952  0.869  0.788  0.524  0.726   NS   0.0125
dDocent_Contig_20018    2      493  0.491  0.427  0.336  0.909  0.832  0.743  0.420  0.642   NS  -0.0702
dDocent_Contig_144889    2      492  0.132  0.131  0.122  0.991  0.939  0.889  0.765  0.876   ND  -0.0065
dDocent_Contig_11584    2      492  0.445  0.430  0.337  0.908  0.831  0.742  0.418  0.640   NS  -0.0181
dDocent_Contig_41467    2      492  0.364  0.335  0.279  0.944  0.861  0.777  0.499  0.707   NS  -0.0419
dDocent_Contig_53806    2      493  0.473  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS   0.0268
dDocent_Contig_59165    2      493  0.140  0.134  0.125  0.991  0.938  0.887  0.760  0.873   ND  -0.0231
dDocent_Contig_8822    2      489  0.133  0.124  0.116  0.992  0.942  0.894  0.775  0.882   ND  -0.0257
dDocent_Contig_64286    2      493  0.320  0.324  0.271  0.948  0.864  0.782  0.510  0.716   NS   0.0045
dDocent_Contig_136921    2      493  0.436  0.425  0.334  0.910  0.833  0.743  0.422  0.643   NS  -0.0139
