Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 3/25/2016 11:27:38 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_21_144    2      888  0.508  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0083
dDocent_Contig_107_30    2      883  0.505  0.487  0.368  0.881  0.816  0.723  0.382  0.602   NS  -0.0184
dDocent_Contig_107_48    2      883  0.421  0.419  0.331  0.913  0.835  0.746  0.426  0.647   NS  -0.0036
dDocent_Contig_253_106    2      856  0.428  0.436  0.341  0.905  0.829  0.739  0.413  0.635   NS   0.0099
dDocent_Contig_281_52    2      867  0.536  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0375
dDocent_Contig_315_77    2      877  0.437  0.422  0.333  0.911  0.834  0.744  0.424  0.645   NS  -0.0180
dDocent_Contig_327_87    2      886  0.495  0.480  0.365  0.885  0.818  0.725  0.386  0.607   NS  -0.0163
dDocent_Contig_411_45    2      893  0.376  0.366  0.299  0.933  0.851  0.765  0.469  0.685   NS  -0.0144
dDocent_Contig_411_126    2      893  0.367  0.360  0.295  0.935  0.852  0.767  0.475  0.689   NS  -0.0104
dDocent_Contig_411_139    2      892  0.473  0.475  0.362  0.887  0.819  0.727  0.389  0.610   NS   0.0013
dDocent_Contig_599_93    2      886  0.427  0.406  0.324  0.918  0.838  0.750  0.435  0.656   NS  -0.0247
dDocent_Contig_714_82    2      892  0.331  0.328  0.274  0.946  0.863  0.780  0.505  0.712   NS  -0.0040
dDocent_Contig_769_57    2      873  0.501  0.467  0.358  0.891  0.821  0.729  0.393  0.615   NS  -0.0352
dDocent_Contig_848_64    2      906  0.352  0.332  0.277  0.945  0.862  0.778  0.501  0.709   NS  -0.0292
dDocent_Contig_889_111    2      889  0.328  0.331  0.276  0.945  0.862  0.779  0.502  0.710   NS   0.0037
dDocent_Contig_969_24    2      902  0.509  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS  -0.0173
dDocent_Contig_969_96    2      902  0.446  0.405  0.323  0.918  0.839  0.750  0.436  0.657   NS  -0.0483
dDocent_Contig_969_110    2      902  0.438  0.428  0.336  0.909  0.832  0.742  0.419  0.641   NS  -0.0118
dDocent_Contig_1152_37    2      872  0.506  0.483  0.366  0.884  0.817  0.724  0.384  0.605   NS  -0.0235
dDocent_Contig_1201_31    2      890  0.381  0.385  0.311  0.926  0.845  0.758  0.452  0.671   NS   0.0052
dDocent_Contig_1235_9    2      865  0.475  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS   0.0063
