Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 11/17/2016 2:47:13 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI
dDocent_Contig_80_12    2     1774  0.958  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_80_33    2     1774  0.843  0.488  0.369  0.881  0.816  0.723  0.381  0.601
dDocent_Contig_107_30    2     1788  0.507  0.489  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_107_48    2     1788  0.417  0.412  0.327  0.915  0.836  0.748  0.431  0.652
dDocent_Contig_315_77    2     1770  0.444  0.428  0.336  0.908  0.832  0.742  0.419  0.641
dDocent_Contig_333_46    2     1786  0.934  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_333_47    2     1786  0.934  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_435_7    2     1813  0.956  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_486_51    2     1745  0.498  0.378  0.307  0.929  0.847  0.760  0.458  0.676
dDocent_Contig_486_102    2     1746  0.544  0.426  0.335  0.909  0.832  0.743  0.420  0.642
dDocent_Contig_516_58    2     1753  0.671  0.446  0.346  0.901  0.827  0.736  0.406  0.629
dDocent_Contig_516_77    2     1758  0.657  0.441  0.344  0.903  0.828  0.738  0.410  0.632
dDocent_Contig_516_79    2     1758  0.657  0.441  0.344  0.903  0.828  0.738  0.410  0.632
dDocent_Contig_631_33    2     1782  0.587  0.460  0.354  0.894  0.823  0.732  0.398  0.620
dDocent_Contig_631_90    2     1785  0.653  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_714_82    2     1745  0.328  0.348  0.287  0.939  0.856  0.772  0.486  0.697
dDocent_Contig_744_56    2     1758  0.758  0.472  0.360  0.889  0.820  0.728  0.390  0.612
dDocent_Contig_769_57    2     1764  0.474  0.465  0.357  0.892  0.821  0.730  0.394  0.616
dDocent_Contig_816_20    2     1803  0.519  0.387  0.312  0.925  0.844  0.757  0.450  0.669
dDocent_Contig_848_64    2     1771  0.326  0.324  0.271  0.948  0.864  0.782  0.510  0.716
dDocent_Contig_889_111    2     1776  0.345  0.335  0.279  0.944  0.861  0.777  0.499  0.707
dDocent_Contig_1152_37    2     1763  0.497  0.484  0.367  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_1201_31    2     1774  0.373  0.382  0.309  0.927  0.845  0.759  0.455  0.673
dDocent_Contig_1370_131    2     1798  0.364  0.366  0.299  0.933  0.850  0.765  0.469  0.684
dDocent_Contig_1670_33    2     1808  0.863  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_1670_71    2     1808  0.976  0.500  0.375  0.875  0.813  0.719  0.375  0.594
